nct_id,historical_first_results_label_version,first_results_attempt_version,first_results_posted_version,pre_episode_posted_version,results_episode_id,first_results_date,first_results_date_source,first_results_history_version_date,first_results_attempt_pcd,first_results_attempt_pcd_type,first_results_pcd,first_results_pcd_type,pre_first_results_pcd,pre_first_results_pcd_type,current_pcd,current_pcd_type,history_versions,posted_history_versions,review_not_passed_versions,pair_id,group
NCT03008889,11,11,13,10,NCT03008889:v11-v13,2020-09-04,resultsFirstSubmitDate,2020-09-04,2019-09-12,ACTUAL,2019-09-12,ACTUAL,2019-09-12,ACTUAL,2019-09-12,ACTUAL,15,13,2,110,fda_proxy
NCT03769896,3,3,3,2,NCT03769896:v3-v3,2020-08-22,resultsFirstSubmitDate,2021-02-10,2019-07-15,ACTUAL,2019-07-15,ACTUAL,2019-07-15,ACTUAL,2019-07-15,ACTUAL,4,4,0,110,nonfda_control
NCT03539302,15,15,18,14,NCT03539302:v15-v18,2023-11-25,resultsFirstSubmitDate,2023-11-25,2022-01-17,ACTUAL,2022-01-17,ACTUAL,2022-01-17,ACTUAL,2022-01-17,ACTUAL,19,16,3,111,fda_proxy
NCT04693234,9,9,9,8,NCT04693234:v9-v9,2024-08-22,resultsFirstSubmitDate,2025-04-09,2022-06-16,ACTUAL,2022-06-16,ACTUAL,2022-06-16,ACTUAL,2022-06-16,ACTUAL,10,10,0,111,nonfda_control
NCT03073148,6,6,7,5,NCT03073148:v6-v7,2020-09-29,resultsFirstSubmitDate,2020-09-29,2019-02-13,ACTUAL,2019-02-13,ACTUAL,,,2019-02-13,ACTUAL,8,7,1,112,fda_proxy
NCT02963649,29,29,29,28,NCT02963649:v29-v29,2024-12-04,resultsFirstSubmitDate,2025-07-07,2019-10-07,ACTUAL,2019-10-07,ACTUAL,2019-10-07,ACTUAL,2019-10-07,ACTUAL,30,30,0,112,nonfda_control
NCT03193684,11,11,12,10,NCT03193684:v11-v12,2024-03-11,resultsFirstSubmitDate,2024-03-11,2023-01-30,ACTUAL,2023-01-30,ACTUAL,2023-01-30,ACTUAL,2023-01-30,ACTUAL,13,12,1,113,fda_proxy
NCT05397652,2,2,2,1,NCT05397652:v2-v2,2025-12-22,resultsFirstSubmitDate,2026-02-05,2023-07-21,ACTUAL,2023-07-21,ACTUAL,2023-07-21,ACTUAL,2023-07-21,ACTUAL,3,3,0,113,nonfda_control
NCT03111381,5,5,7,4,NCT03111381:v5-v7,2021-05-26,resultsFirstSubmitDate,2021-05-26,2020-06-01,ACTUAL,2020-06-01,ACTUAL,2020-06-01,ACTUAL,2020-06-01,ACTUAL,8,6,2,114,fda_proxy
NCT04487834,2,2,2,1,NCT04487834:v2-v2,2023-01-31,resultsFirstSubmitDate,2023-11-20,2020-06-30,ACTUAL,2020-06-30,ACTUAL,2020-06-30,ACTUAL,2020-06-30,ACTUAL,3,3,0,114,nonfda_control
NCT05445427,7,7,8,6,NCT05445427:v7-v8,2025-02-25,resultsFirstSubmitDate,2025-02-25,2024-03-28,ACTUAL,2024-03-28,ACTUAL,2024-03-28,ACTUAL,2024-03-28,ACTUAL,10,9,1,115,fda_proxy
NCT05456750,5,5,5,4,NCT05456750:v5-v5,2026-02-25,resultsFirstSubmitDate,2026-05-20,2024-07-31,ACTUAL,2024-07-31,ACTUAL,2024-07-31,ACTUAL,2024-07-31,ACTUAL,6,6,0,115,nonfda_control
